Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Full Description
Transnet Freight Rail,https://www.crunchbase.com/organization/transnet-freight-rail,Logistics,"Johannesburg, NA - South Africa, South Africa",Transnet Freight Rail is a logistics firm.,"60,034","Transnet freight rail is the largest division of Transnet Limited, a public company with South African government as its sole shareholder. It is a world class heavy haul freight rail company that specialises in the transportation of freight. Transnet freight rail has approximately 38 000 employees, who are spread throughout the country."
MeQasa Ltd,https://www.crunchbase.com/organization/meqasa-ltd,"Property Management, Real Estate","Accra, Greater Accra, Ghana","MeQasa offers an online platform that enables its users to rent, buy, and sell properties in Ghana.","60,041","MeQasa offers an online platform that enables its users to rent, buy, and sell properties. With comprehensive listings of houses, apartments, condos, office spaces, and short stays, the company offers efficient and user friendly way to get its users through a stress less property search through online and offline media. Featured agents of the company are Signature Properties, Layoco Limited, EASTMIDAS PROPERTIES, Tierra Consult, Loveridge Properties and Consult, and Ando Properties Limited. The company collaborates with brokers, owners, and tenants to create complete and dynamic property profiles and they advertise online all adequately profiled properties that are vacant. MeQasa is headquartered in Ghana and the company was founded in 2013."
Lynk Jobs,https://www.crunchbase.com/organization/lynk-jobs,"Apps, Computer, Professional Services, Software","Nairobi, Nairobi Area, Kenya",Lynk is an online platform that partners with Kenyan artisans to showcase and promote their products and services.,"60,056","Lynk solves the problems faced by informal workers and the households and businesses seeking their services. Lynk’s digital platform connects informal workers with customers who require services such as housekeeping, plumbing, electrical work and carpentry. Lynk’s systems enable the effective recruitment of workers, smart matching of the workers to jobs and a customer rating system that helps workers to build the skills profile."
Futurepump,https://www.crunchbase.com/organization/futurepump,"Energy, Solar, Technical Support","Nairobi, Nairobi Area, Kenya",Futurepump develops solar-powered irrigation technologies to help the 500 million one-acre farmers around the world.,"60,072","There are 500 million one-acre farmers around the world. The technology that Futurepump is developing is designed to tap into the needs of this huge global market. The Sunflower irrigation pump is both robust and portable. It offers smallholder farmers a cheaper, cleaner and more sustainable alternative to costly and polluting petrol or diesel pumps.   Irrigating crops on demand leads to more reliable harvests. It also gives farmers the opportunity to grow and sell crops out of season, bringing huge economic benefits to the farmers, their families and the wider community."
Koa Academy,https://www.crunchbase.com/organization/koa-academy,"E-Learning, Education","Cape Town, NA - South Africa, South Africa",Koa provides an IEB education for children in grades 4-12 through an online learning environment that is both structured and individualised.,"60,219",Koa provides an IEB education for children in grades 4-12 through an online learning environment that is both structured and individualized.
Vodacom,https://www.crunchbase.com/organization/vodacom,"CRM, Messaging, Mobile, Video","Midrand, NA - South Africa, South Africa","Vodacom is an African mobile communications company that provides voice, messaging, data, and converged solutions.","60,332","Vodacom is an African mobile communications company that provides voice, messaging, data, and converged solutions.    It offers Internet, financial, and convenience and security solutions as well as apps for phone; web hosting, dedicated hosting, and hosted CRM solutions; and mobile voice and data services. The company also provides domain services, managed SAP, hosted SharePoint, and hosted exchange; fiber, security, leased line, microwave, and managed satellite; VoIP, conference call, APN, and hosted IP PBX; and data storage and tracking services. In addition, the company sells handsets and other telecommunications equipment.    From its roots in South Africa, Vodacom has grown its operations to include networks in Tanzania, the Democratic Republic of Congo, Mozambique, and Lesotho and provides business services to customers in over 40 African countries such as Nigeria, Zambia, Angola, Kenya, Ghana, Cote d’Ivoire, and Cameroon.    Vodacom Group Limited was founded in 1993 and is based in Midrand, South Africa. Vodacom Group Limited is a subsidiary of [Vodafone Group](http://www.crunchbase.com/organization/vodafone)."
Starzs investments company ltd,https://www.crunchbase.com/organization/starzs-investments-company-ltd,Oil and Gas,"Port Harcourt, Rivers, Nigeria","Starzs Investments Company Limited, a leading indigenous Nigerian offshore oil & gas services company.","60,400","Starzs Investments Company Limited, a leading indigenous Nigerian offshore oil & gas services company."
Yellow,https://www.crunchbase.com/organization/yellow-dfae,"Mobile, Mobile Payments","Lilongwe, Lilongwe, Malawi",Yellow is a digital platform enabling informal merchants in Africa.,"60,484",Yellow is a digital platform enabling informal merchants in Africa.
Peaqock Financials,https://www.crunchbase.com/organization/peaqock,"Finance, Financial Services, FinTech","Casablanca, Grand Casablanca, Morocco",Peaqock Financials is a financial technology platform.,"60,525",Peaqock Financials is a financial technology platform. It was founded in 2014.
Knock Mart,https://www.crunchbase.com/organization/knock-mart,"Delivery, E-Commerce, Online Portals","Cairo, Al Qahirah, Egypt",It is a virtual grocer that delivers in less than 60 minutes and plans to be the fastest on planet with such range and quality of service.,"60,559",
Uhuru Energy,https://www.crunchbase.com/organization/uhuru-energy,"Biomass Energy, Energy, Renewable Energy","Johannesburg, NA - South Africa, South Africa",Uhuru Energy is a large-scale biomass-to-energy project developer.,"60,593",Uhuru Energy is a large-scale biomass-to-energy project developer.
Grainpulse,https://www.crunchbase.com/organization/grainpulse,"Agriculture, Nutrition","Kampala, Kampala, Uganda",Grainpulse is a provider of food and nutrition security.,"60,926","Grainpulse is a provider of food and nutrition security for every household. Grainpulse has set the bar high with its unwavering commitment to Integrity, Customer-Centricity, Performance and Teamwork."
Ecodudu,https://www.crunchbase.com/organization/ecodudu,"Agriculture, Biotechnology","Nairobi, Nairobi Area, Kenya",Ecodudu is a waste-to-value company.,"61,050","Ecodudu is a waste-to-value company. It uses a proprietary innovation to recycle organic waste into high-protein animal feed and organic fertilizer using the black soldier fly. It harnesses insects (nature’s recycling agents) to address global issues which include waste management, demand for protein, and environmental conservation."
UbaPesa,https://www.crunchbase.com/organization/ubapesa,"Bitcoin, Blockchain, Cryptocurrency, Financial Services, Lending, Mobile Apps, Peer to Peer","Nairobi, Nairobi Area, Kenya",UbaPesa is the best peer to peer lending app in Kenya which allows you to lend and borrow money in real-time.,"61,116",UbaPesa is the best peer to peer lending app in Kenya which allows you to lend and borrow money in real-time.
Furnwish,https://www.crunchbase.com/organization/furnwish,"Augmented Reality, E-Commerce, Furniture, Retail","Cairo, Al Qahirah, Egypt",Furnwish is an AR app empowering retailers & design professionals in better showcasing their products & services.,"61,202","Furnwish is a platform enabling home owners to discover, visualize and interact with furniture using immersive Augmented reality (AR) experiences; Creating tools to empower retailers & design professionals in better showcasing their products & services, reducing their returns & refunds and utilizing their showrooms so they can showcase more inventory options with less space. "
Merge,https://www.crunchbase.com/organization/merge,"Apps, Internet","Johannesburg, NA - South Africa, South Africa",Merge is an app that helps connect entrepreneurs with investors.,"61,245","Merge is an app and web-based platform that acts as a digital meeting place for entrepreneurs and investors. Entrepreneurs and Investors can connect, communicate, and collaborate with one another based on their needs."
Dresscode,https://www.crunchbase.com/organization/dress-code-me,"E-Commerce, Fashion, Women's","Cairo, Al Qahirah, Egypt",Dresscode operates as an online store for women's clothing.,"61,288",Dresscode operates as an online store for women's clothing. Dresscode provides a platform for local fashion brands and designers to market and sell their products.
Livestock Wealth,https://www.crunchbase.com/organization/livestock-wealth,"Farmers Market, Farming, Livestock","Johannesburg, NA - South Africa, South Africa",Livestock Wealth is a crowdfarmingTM company that allows people to invest in livestock and earn from sale of the offspring.,"61,389",Livestock Wealth is a crowdfarmingTM company that allows people to invest in livestock and earn from sale of the offspring.Their unique CrowdFarmingTM concept allows individuals to share the facilities of a commercial livestock farm while our experts look after their cows on a day to day basis. Cows have been a source of pride and a store of wealth in Africa for centuries. The wealth in cows is based on something real – beef. The company enables anyone to be an organic beef farmer.
Enov8 Solutions,https://www.crunchbase.com/organization/enov8-solutions,"Information Technology, Internet, Software","Lagos, Lagos, Nigeria",African Information Technology Solutions Provider,"61,538","We are united, creative professionals with combined experience of over 30 years in the Finance, Business & Technology space. Our respective individual character of problem solving, agile and dedicated spirit to proffering topnotch innovative solutions to any identified gap in various sectors has brought about our formidable team at a time when technology is breaking conventions – transforming industries, and taking Africa to the next Level. Through gaining experience in various economic periods, our team are able to identify the best opportunities whether we are in good times or bad times. Good times provide growth in our portfolio and bad times, despite the potential negative effects, can provide opportunities. We see ourselves as a forward looking group of passionate IT professionals with the relevant experience to match."
Cytonn Investments,https://www.crunchbase.com/organization/cytonn-investments,"Industrial, Real Estate Investment","Westlands, Nairobi Area, Kenya",Cytonn Investments is an investment and real estate company.,"61,543","The firm was formed by a team that had worked together as the executive team at a leading asset manager in the region. After a very successful tenure growing profitability by over 10 times, increasing assets by over 3 times and moving the previous firm from number 6 to number 1 (in the East-African region) by revenues, the team moved to create an independent firm focused solely on serving the interests of clients and investors. They strongly believe that if they wake up every day thinking about what is in the interest of clients, putting their interests ahead of their own and trading the short-term interests for the long-term interests, their clients will do very well. And when their clients do well, they will do well too. Cytonn Investments is an investment and real estate company, with offices in Nairobi - Kenya and DC Metro area - U.S. They are primarily focused on offering alternative investment solutions to global institutional investors, individual high net-worth investors, local institutional investors and diaspora investors interested in the East-African region. "
Every1Mobile,https://www.crunchbase.com/organization/every1mobile,"Education, Mobile, Social Network","Cape Town, NA - South Africa, South Africa","Every1Mobile uses mobile social networks to build youth communities in Africa, focusing on health, education, jobs and entertainment.","61,567","We deliver the specialised mobile solutions and online components of social development programmes. We work with international development agencies, commercial companies, NGOs and foundations to achieve measurable social change across Africa and other emerging markets. Our projects run in multiple countries, involving development topics such as sexual health, digital and financial literacy, business skills, family planning, gender and nutrition.  We design solutions that meet the evolving needs of business owners, consumers, social change agencies and corporations looking to utilise the reach and power of mobile technology."
Split,https://www.crunchbase.com/organization/split-7679,"Mobile Apps, Ride Sharing, Software, Transportation","Tunis, Tunis, Tunisia",Mobile App,"61,846",
Bright On Capital,https://www.crunchbase.com/organization/bright-on-capital,"Financial Services, FinTech, Lending","Johannesburg, NA - South Africa, South Africa",Bright On Capital is a peer-to-peer online enterprise-lending platform for SMEs to raise working capital funding from lenders.,"61,878","Bright On Capital is a peer-to-peer online enterprise-lending platform, which serves as an online market place allowing SMEs to simply and quickly raise working capital funding from a wide-range of traditional and non-traditional lenders. Our lending partners include development funding institutions (“DFIs”), corporate enterprise development funds and other institutional investors. Bright On has also partnered with a number of South African corporates, government and other large enterprises to provide their SME suppliers with the ability to raise affordable working capital funding on the back of their invoices that are payable by these large enterprises. The Bright On online platform provides SME suppliers with: Simple & easy online access to affordable working capital funding Rapid screening and credit decisioning Quick disbursement of funds."
LGGU Tunisia,https://www.crunchbase.com/organization/lggu-tunisia,"Consulting, Education, Information Technology, Logistics, Web Development","Ariana, Tunis, Tunisia",SERVICES FOR COMPANIES,"61,963",SERVICES FOR COMPANIES
iSchool,https://www.crunchbase.com/organization/ischool-4e59,"Children, EdTech, Education","Cairo, Al Qahirah, Egypt","iSchool is a technology education company, that offers a parallel STEAM-based education journey to kids aging between 6-18 years old.","61,977","iSchool offers a parallel STEAM-based education journey to kids aging between 6-18 years old. The journey includes learning objectives, milestones, projects, activities, certificates, and competitions all customized to fit the students’ age range."
Distributed Power Africa,https://www.crunchbase.com/organization/distributed-power-africa,"Energy, Environmental Engineering, Renewable Energy","Bryanston, NA - South Africa, South Africa","Distributed Power Africa is a renewable energy solutions company that offers solar panels, renewable energy batteries, and more.","62,164","Distributed Power Africa offers solar panels, renewable energy battery, energy sun power battery Turn your unused power."
Tupuca,https://www.crunchbase.com/organization/tupuca,"Delivery Service, E-Commerce, Food Delivery, Mobile Apps, Taxi Service","Luanda, Luanda, Angola",Angola's first all-in-one delivery platform that allows users to order almost anything on-demand.,"62,169",Angola's first all-in-one delivery platform that allows users to order almost anything-on-demand.
Gloo.ng,https://www.crunchbase.com/organization/gloo-ng,"E-Commerce, Retail, Shopping","Lagos, Lagos, Nigeria",Africa's Biggest Online Supermarket,"62,173","Gloo.ng is an electronic procurement engine dedicated to delivering direct to the doorsteps of her clients, on a same-day basis and at very affordable prices, a wide variety of high quality brands of supermarket goods. Gloo.ng provides her clients very convenient, very efficient and very affordable means of shopping for supermarket goods, saving them irreplaceable time, needless stress and valuable money, thereby enriching their lives with the happiness these savings facilitate. Gloo.ng is more than an online ecommerce site. It is a vision! We are on a mission to promote the happiness of families and redefine & own the word ""supermarket"" in Nigeria. Starting from Nigeria, our True North is to do to supermarket shopping in Africa what Amazon did to book shopping in the world."
Prospa,https://www.crunchbase.com/organization/prospa-1369,"Financial Services, FinTech","Cape Town, NA - South Africa, South Africa",Prospa is a mobile savings wallet with no monthly fees and no required minimum account balance.,"62,287","Prospa is a mobile enabled savings solution for low income earners which allows them to save small amounts through a voucher-based USSD solution. It combines the powers of group saving, flexibility, and discipline to maximize your savings."
Mpago,https://www.crunchbase.com/organization/mpago,"Apps, Developer APIs, Information Technology, Software","Lagos, Lagos, Nigeria",Global API syndication Services,"62,326","Global API syndication Services, working with companies to connect their platforms to the world."
Chitosan Egypt,https://www.crunchbase.com/organization/chitosan-egypt,Manufacturing,"Gizzâya, Al Jizah, Egypt",the leading Chitosan manufacturer in Egypt,"62,355",
Kezakoo,https://www.crunchbase.com/organization/kezakoo,"E-Commerce, E-Learning, EdTech, Education","Casablanca, Grand Casablanca, Morocco","Kezakoo est la plus grande plateforme e-learning au Maroc. Fondée en 2013, elle enregistre aujourd'hui plus de 3.5 millions de bénéficiaires","62,474",
Bringy,https://www.crunchbase.com/organization/bringy,"Financial Services, FinTech, Insurance, Mobile Apps","Cairo, Al Qahirah, Egypt",Bringy is a fintech business that enables users to buy insurance services online through a mobile app conveniently.,"62,565","bringy is a mobile app that enables customers to buy insurance services instantly, in a simple, digital end-to-end manner, with only a few clicks. bringy as a platform aspires to provide financial services and potentially digital banking services in an easy, fast and secure manner."
Tress,https://www.crunchbase.com/organization/tress,"Apps, Communities, E-Commerce, Fashion, Social Media","Accra, Greater Accra, Ghana",Tress is a social community for black women's hairstyles.,"62,573","Tress is a social community for black women's hairstyles. They are building a social community for black women to discover hairstyle inspiration, find stylists, buy products and discuss their hair needs with an engaged community. Currently in order to find a new hairstyle and get it done, a woman will have to first find inspiration on either Instagram or Pinterest, then find a corresponding hair tutorial on YouTube, then ask for a stylist within her network or book a stylist on Style Seat or Yelp, then randomly search online for products or purchase the products in a beauty supply store.  Tress solves this. Their aim is to be the dedicated platform for hairstyle inspiration that drives commerce in the black hair care market. They are targeting over 115 million black women in America, Caribbean, Africa, Asia and Europe with smartphones, who are online and are crazy about their hair."
MerQ,https://www.crunchbase.com/organization/merq,"Artificial Intelligence, Machine Learning","Ismailia, Al Isma'iliyah, Egypt",Artificial intelligence startup specialized in developing cognitive chatbots in the form of virtual assistants in financial sector.,"62,589","Offering better communication for businesses and individuals through Artificial intelligence solutions and chatbots, therefore MerQ was established.  MerQ is an Artificial intelligence startup specialized in developing cognitive chatbots in the form of virtual assistants.  MerQ aims to make these virtual assistants support audience 24/7, answer their inquiries, reduce cost and save people's time."
InfraCredit,https://www.crunchbase.com/organization/infracredit,Financial Services,"Lagos, Lagos, Nigeria",InfraCredit provides local currency guarantees to enhance the credit quality of debt instruments issued to finance infrastructure assets.,"62,607",InfraCredit provides local currency guarantees to enhance the credit quality of debt instruments issued to finance creditworthy infrastructure assets in Nigeria that conform with its eligibility criteria.
Mobenzi,https://www.crunchbase.com/organization/mobenzi,"Education, Information Services, Software","Cape Town, NA - South Africa, South Africa",Mobenzi provides technology and professional services to organisations involved in research.,"62,667","Mobenzi is a mobile-first technology impact business headquartered in Cape Town, South Africa. Established in 2007, Mobenzi has developed a suite of integrated platforms which empower frontline workers, engage communities and inform decision-makers using appropriate technology. Mobenzi’s technology is locally developed to support organisations involved in data collection, research, field logistics and community service delivery and is used in over 40 countries to support initiatives in the academic, development, health, education, retail and agricultural sectors. Our diverse team is united by our shared vision to deliver significant impact through technology."
MOBicure,https://www.crunchbase.com/organization/mobicure,"Health Care, Medical, Mobile","Benin City, Edo, Nigeria",MOBicure provides mobile technology solutions for Africa's biggest health problems,"62,706","MOBicure is a social enterprise that is using mobile technology to provide healthcare solutions for Africa’s biggest healthcare problems, particularly in maternal and child health. Our flagship product is calledmyPaddi. myPaddi is a platform consisting of a mobile and web app that at the touch of a button provides young people with anonymous access to accurate information on sexual and reproductive health, with emphasis on prevention and management of sexual abuse, teenage pregnancy & HIV/STDs, as well as providing them access to trained counselors and medical personnel."
Foodlocker,https://www.crunchbase.com/organization/foodlocker,"Food Delivery, Machine Learning, Retail","Ibadan, Oyo, Nigeria",Foodlocker is which forecasts foodstuff demand through deep machine learning.,"62,717","Foodlocker is a retail business that sources foodstuff from farmers, pays them fairly, & sells to customers at decent prices both online and in-store."
Truzo,https://www.crunchbase.com/organization/truzo,"FinTech, Mobile Payments, Payments, Transaction Processing","Johannesburg, NA - South Africa, South Africa",Truzo is a web and app-based escrow platform enabling buyers and sellers anywhere to transact in a safe and secure way.,"62,734","Truzo is a web and app-based digital escrow payment platform enabling buyers and sellers to transact anywhere, via any device in a safe and secure way."
IDEA Digital Education Holdings Ltd,https://www.crunchbase.com/organization/idea-digital-education,"Apps, Content Creators, EdTech, Education, Information Technology","Port Louis, Port Louis, Mauritius","IDEA is a technology company that has created high quality, interactive, data-driven, personalised digital education content and software.","62,755","IDEA is an innovative EdTech company that has created high quality, personalised digital education content and software for students and teachers globally.  IDEA has created interactive, data-driven, digital software, content and games for students and teachers covering all grades and localised to each national education market.  IDEA has developed a completely digital STEM program from Kindergarten to Grade 12 as well as teacher training courses and ICT skills development."
Ogaranya,https://www.crunchbase.com/organization/ogaranya,"E-Commerce, Internet, Payments","Lagos, Lagos, Nigeria",We enable Offline-To-Online (O2O) commerce. USSD Payments.,"62,992","We enable Offline-To-Online (O2O) commerce.We enable people to buy and sell goods and services via existing text based messaging platforms like SMS, WhatsApp, Telegram, Facebook Messenger etc.Our customers do not need to download an app. We help businesses and customers complete real-time end-to-end transactions via text messages all within the conversation. Smartphone or not, customers can chat with businesses via SMS etc., and complete transactions by simply texting their order instruction to a mobile number assigned to the business. We enable businesses easily respond to support questions, sales inquiries, schedule appointments, or take orders with no phone calls, enabling them engage customers and complete transactions, real-time."
Hepstar,https://www.crunchbase.com/organization/hepstar,"Information Technology, Insurance, InsurTech, Travel","Cape Town, NA - South Africa, South Africa",Hepstar is a global leader in personalised travel ancillary and insurance product merchandising.,"63,533","Headquartered in Cape Town, South Africa, Hepstar provides specialised Travel Ancillary and Insurance Product Merchandising services to online travel merchants. Hepstar's technology is geared towards optimising partner insurance sales through content aggregation, personalisation, engagement, advanced promotional tools and continuous AB testing.  Hepstar received US$2 million in funding from Amadeus Capital Partners, which it plans to use to expand its global reach."
Totohealth,https://www.crunchbase.com/organization/totohealth,"Health Care, Information Technology, mHealth","Nairobi, Nairobi Area, Kenya",Totohealth makes use of mobile technology to improve maternal and child health indicators among the vulnerable populations.,"63,559","The majority of Africans do not have access to adequate maternal and child care due to inadequate resources and medical practitioners (per every mother) thereby delaying detection of disability to heights that diminish the benefits of any intervention. Totohealth is revolutionizing maternal and child health industry by leveraging mobile technology platforms. It allows parents and caregivers to monitor the development of their child using the electronic set of Totohealth’s disability indicators and linking them to the right health care service providers for specialized care, treatment and guidance."
Vesicash Financial Technology,https://www.crunchbase.com/organization/vesicash-financial-technology,"Bitcoin, Blockchain, Financial Services, Payments","Lagos, Lagos, Nigeria",Vesicash is an Escrow payment system that facilitate a transparent payment process through a secure distributed networks.,"63,564",Vesicash is an Escrow Payment System built to solve the impediments involved in conducting peer to peer and marketplace transactions.
Helpmum,https://www.crunchbase.com/organization/helpmum,Health Care,"Ibadan, Oyo, Nigeria","Helpmum is a mobile healthcare service to reduce maternal & infant mortality through e-learning, vaccination tracker, and kit distribution.","63,584",
Yemaachi Biotechnology,https://www.crunchbase.com/organization/yemaachi-biotechnology,"Artificial Intelligence, Bioinformatics, Biotechnology, Health Diagnostics","Accra, Greater Accra, Ghana",Yemaachi Biotechnology provides diversifying precision cancer diagnostics and treatments.,"63,599","Yemaachi Biotechnology uses cutting-edge immunogenomics, bioinformatics, and artificial intelligence to accelerate the development of cancer detection and cure strategies for lowering the economic burden of cancer."
Dawarha,https://www.crunchbase.com/organization/dawarha,"Machinery Manufacturing, Recycling, Software","Cairo, Al Qahirah, Egypt",Dawarha creates the first fully automated reverse vending machine in the Middle East and Africa | Egypt's first vending machine.,"63,615","Dawarha creates the first fully automated reverse vending machine in the Middle East and Africa | Egypt's first vending machine. Founded in 2018 and is based in Cairo, Al Qahirah, Egypt."
Acorn Holdings,https://www.crunchbase.com/organization/acorn-holdings,"Property Development, Property Management, Real Estate, Residential","Nairobi, Nairobi Area, Kenya",Acorn Holdings is a provider of real estate services that includes property development and project management.,"63,633",
Sotech,https://www.crunchbase.com/organization/sotech-0b7d,"Internet of Things, Medical, Software","Cairo, Al Qahirah, Egypt",Sotech operates as a healthech and IoT solutions startup.,"63,660","Sotech operates as a healthech and IoT solutions startup. Sotech specialises in smart IoT, trackable out-of-home advertising, and data gathering to help clinics understand the volume, flow, and demographic of its visitors."
Lifeye,https://www.crunchbase.com/organization/lifeye,"AgTech, Artificial Intelligence, Hardware, Internet of Things, SaaS","Tunis, Tunis, Tunisia","We bridge data gaps in dairy ecosystems, AgTech, SaaS, Hardware","63,665","Lifeye is an AgTech startup that envisions to fill the data gaps between the different dairy farming stakeholders toward a more efficient dairy cow production and diseases prevention with its flagship solution MooMe.  MooMe is the modern Dairy Ecosystem Management Platform. With all the essential data in one place, MooMe helps the dairy ecosystem stakeholders get the best from their day-to-day operations - So they can focus on creating value for their customers."
Yodawy,https://www.crunchbase.com/organization/yodawy,"Health Care, Internet, Marketplace, Pharmaceutical","Cairo, Al Qahirah, Egypt",Yodawy is an Online pharmacy marketplace and insurance benefits manager.,"63,763",Yodawy is an online pharmacy and insurtech startup that allows customers to order pharmaceuticals and cosmetics via a mobile app and have those delivered through a network of 500+ pharmacies across Egypt. Insurance and copayment benefits are automatically applied with four major insurance carriers onboarded thus far and more in the pipeline.  
Faithful to Nature,https://www.crunchbase.com/organization/faithful-to-nature,"E-Commerce, Food and Beverage, Health Care, Organic, Renewable Energy","Cape Town, NA - South Africa, South Africa",Faithful to Nature is an online health shop offering natural and organic products.,"63,775",Faithful to Nature is an online health shop offering natural and organic products.
Fingo Africa,https://www.crunchbase.com/organization/fingo-africa,"Finance, Financial Services, FinTech","Nairobi, Nairobi Area, Kenya",Fingo Africa provides a digital banking platform.,"63,855","Fingo is a fintech startup providing digital banking services for youth. services include current accounts, money transfers, bill payments, etc., it features link-based payments, saving goals, and real-time transactions."
AirSmat Inc,https://www.crunchbase.com/organization/airsmat,"Agriculture, AgTech, Analytics, Artificial Intelligence, Drones, Farming, Machine Learning, SaaS, Software","Lagos, Lagos, Nigeria",AI-Powered Platform - Unlocking the power of data.,"63,898","With a population of over 1.2 billion and a market of huge magnitude, we have an opportunity of helping Agriculture industry through our technology. AirSmat was founded on the belief that data intelligence will shape the future. We provide cutting edge software solutions to many rapidly growing industries adopting data intelligence into daily operations and decision-making process. With drone and satellite as vehicles, we are helping to transform the way businesses collect, manage and interpret data. We help businesses unlock the power of drone and satellite data. With a different approach than existing solutions, our mission is to revolutionize Africa data intelligence landscape. Our flagship products are meant to help farmers and farm owners across Africa improve yields and productivity using the power of our AirSmat Artificial Intelligent (AAI) driven software. AirSmat is driving adoption of precision agriculture by providing consolidated smart farming data collection and analytics report for farming via our customer portal, SmatPortal which is helping to save on inefficient crop production operations as well as increase yield or mitigate harvest loss by applying location specific variable spraying application of nutrients and microorganisms considering biophysical parameters of soil and climate. Digital platform incorporates instant soil, weather and vegetation data monitoring powered by AI as well as online crop expert support."
Damanesign,https://www.crunchbase.com/organization/damanesign,"Document Management, E-Signature","Morocco City, Marrakech-Tensift-Al Haouz, Morocco",Damanesign operates as a digital trust solutions startup.,"64,052",Damanesign operates as a digital trust solutions startup. Damanesign is a startup that is seizing new legislation opportunities on digital trust in Morocco to provide users with the utmost safety in documentation.
General Emballage,https://www.crunchbase.com/organization/general-emballage,"Manufacturing, Packaging Services","Bejaïa, Bejaia, Algeria",General Emballage is a supplier of corrugated cardboard in Algeria.,"64,228","General Emballage is a supplier of corrugated cardboard in Algeria. The company supplies its clients with double layered cardboard and double-double layered. General Emballage entered the market in back in 2002, since then, had grown enormously. It now employs a workforce of 1000 colleagues spread out on 3 productions facilities ( Akbou, Setif and Oran sites)."
Delivery Science,https://www.crunchbase.com/organization/delivery-science,"Analytics, Enterprise Software, Information Technology, Software","Yaba, Lagos, Nigeria",Delivery Science helps large organizations get data from the field to manage and monitor their distribution assets.,"64,243","Delivery Science is a technology company providing solutions to large organisations which provides data, visibility, and control to manage and monitor its distribution assets. Its product ""FieldInsight"" uses mobile forms to help large organisations in Africa with Field workers get data from the field."
3X4Genetics,https://www.crunchbase.com/organization/3x4genetics,"Biotechnology, Genetics, Health Care, Nutrition","Cape Town, NA - South Africa, South Africa",Scientifically-robust nutrigenomics (personalised nutrition guided by your own genetic stack). Practitioner education & genomic reporting,"64,329",
Zooba eats Egypt,https://www.crunchbase.com/organization/zooba-eats-8c02,"Food and Beverage, Restaurants","Cairo, Al Qahirah, Egypt",Zooba Eats is an online platform serving our take on a few Egyptian street food staples.,"64,406","We're Zooba from Cairo, Egypt. We serve authentic contemporary Egyptian street food at seven branches in Cairo and one in New York City. We exist to positively represent our country's street culture through our brand of local hospitality and responsible food sourcing while we work on becoming a more sustainable company."
Gannet,https://www.crunchbase.com/organization/gannet-d114,"Drone Management, Drones","Cape Town, NA - South Africa, South Africa",Gannet is the worlds most powerful waterproof payload delivery drones.,"64,533",Gannet is the worlds most powerful waterproof payload delivery drones
Opio,https://www.crunchbase.com/organization/opio,"Fashion, Retail","Cairo, Al Qahirah, Egypt",Opio is an Egyptian clothing brand that promises effortless chic look.,"64,758","OPIO is a clothing and lifestyle brand that is crafted in Egypt designed for the women on-the-go, who want to look fashionable and timeless. It’s known for its effortless and easy to wear style that can be worn from day tonight. OPIO pieces are instantly recognizable with their clean lines, subtle detailing, and soft quality textiles, creating an effortlessly chic look. they are specially created for a generation of free spirits, role jugglers, deep souls, young hearts, outgoing, and laid back who wants to look good without too much effort."
EFG EV Fintech,https://www.crunchbase.com/organization/efg-ev,"Business Development, Finance, Financial Services, FinTech","Cairo, Al Qahirah, Egypt",EFG EV Fintech is investing in startups and bolstering the Fintech ecosystem in the process.,"64,763","EFG EV Fintech is investing in startups and bolstering the Fintech ecosystem in the process. EFG EV Fintech combines the financial know-how of EFG Hermes and entrepreneurial expertise of Egypt Ventures to launch the a Fintech-focused startup accelerator. They invest in rising Fintech startups with the potential to grow domestically and expand beyond the Egyptian market. EFG EV Fintech also provides innovators with the fully integrated services they need to thrive – from funding to mentorship, to training, and office space."
CliniDo,https://www.crunchbase.com/organization/clinido,"Health Care, Information Services, Information Technology, Internet, Medical","Cairo, Al Qahirah, Egypt",CliniDo is a HealthTech Startup that Simply Connects patients with Healthcare providers Through an online platform.,"65,014","CliniDo is a MedTech company that helps patients make and schedule appointments with doctors, archiving their medical records on the app.  Our main profession is tackling the real pain facing the patients in finding and booking appropriate healthcare providers, in addition to the problem of managing and archiving their medical records, also we're helping the healthcare providers in digitizing their practice and use our innovative solution in improving their service level."
TopCheck,https://www.crunchbase.com/organization/topcheck,"Financial Services, FinTech, Internet, Price Comparison","Lagos, Lagos, Nigeria","TopCheck.com.ng is a platform for comparing financial services like insurance, credit cards or loans.","65,028","TopCheck.com.ng is a platform for comparing financial services like insurance, credit cards or loans. It was founded in January 2015 and is headquartered in Lagos."
Oyi Medical Card,https://www.crunchbase.com/organization/oyi-medical-card,,"Gauteng, NA - South Africa, South Africa",Oyi Medical Card is Payments technology integrated into prepaid card for restricted medical spend only.,"65,052",Oyi is a prepaid card solution to help those who would otherwise not be able to access the medical care that they should be able to afford.
Moja Ride,https://www.crunchbase.com/organization/moja-ride,"Information Technology, Software","Abidjan, Lagunes, Côte d'Ivoire",Mobility-as-a-Service platform for emerging markets,"65,082",A Mobility-as-a-Service platform transforming mobility in emerging markets.
